,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
127,Nuremberg,Nuremberg,Empty,1976.03.08,"$25,000",Frew McMillan,Carpet,/en/scores/archive/nuremberg/658/1976/results,1976
128,Memphis WCT,Memphis,Empty,1976.03.09,"$60,000",Vijay Amritraj,Carpet,/en/scores/archive/memphis/402/1976/results,1976
129,Mexico City WCT,Mexico City,Empty,1976.03.09,"$60,000",Raul Ramirez,Carpet,/en/scores/archive/mexico-city/295/1976/results,1976
130,Hampton,Hampton,Empty,1976.03.10,"$50,000",Jimmy Connors,Carpet,/en/scores/archive/hampton/657/1976/results,1976
131,Washington WCT,Washington,Empty,1976.03.15,"$60,000",Harold Solomon,Carpet,/en/scores/archive/washington/710/1976/results,1976
132,Washington WCT,Washington,Empty,1976.03.15,"$60,000",Harold Solomon,Carpet,/en/scores/archive/washington/9211/1976/results,1976
133,La Costa,La Costa,Empty,1976.03.16,"$100,000",Ilie Nastase,Hard,/en/scores/archive/la-costa/813/1976/results,1976
134,Jackson WCT,Jackson,Empty,1976.03.17,"$60,000",Ken Rosewall,Carpet,/en/scores/archive/jackson/656/1976/results,1976
135,Palm Springs,Palm Springs,Empty,1976.03.22,"$200,000",Jimmy Connors,Hard,/en/scores/archive/palm-springs/404/1976/results,1976
136,Valencia,Valencia,Empty,1976.03.22,"$30,000",Manuel Orantes,Clay,/en/scores/archive/valencia/659/1976/results,1976
137,Barcelona,Barcelona,Empty,1976.03.29,"$30,000",Paolo Bertolucci,Clay,/en/scores/archive/barcelona/278/1976/results,1976
138,Caracas WCT,Caracas,Empty,1976.03.30,"$60,000",Raul Ramirez,Hard,/en/scores/archive/caracas/344/1976/results,1976
139,Sao Paulo WCT,Sao Paulo,Empty,1976.03.30,"$60,000",Bjorn Borg,Carpet,/en/scores/archive/sao-paulo/237/1976/results,1976
140,Nice,Nice,Empty,1976.04.05,"$30,000",Corrado Barazzutti,Clay,/en/scores/archive/nice/6120/1976/results,1976
141,Houston WCT,Houston,Empty,1976.04.06,"$60,000",Harold Solomon,Clay,/en/scores/archive/houston/820/1976/results,1976
142,Houston WCT,Houston,Empty,1976.04.06,"$60,000",Harold Solomon,Clay,/en/scores/archive/houston/405/1976/results,1976
143,Johannesburg WCT,Johannesburg,Empty,1976.04.06,"$60,000",Onny Parun,Hard,/en/scores/archive/johannesburg/254/1976/results,1976
144,Johannesburg WCT,Johannesburg,Empty,1976.04.06,"$60,000",Onny Parun,Hard,/en/scores/archive/johannesburg/9239/1976/results,1976
145,Palma,Mallorca,Empty,1976.04.12,"$30,000",Buster C. Mottram,Clay,/en/scores/archive/mallorca/655/1976/results,1976
146,Charlotte WCT,Charlotte,Empty,1976.04.13,"$60,000",Tony Roche,Clay,/en/scores/archive/charlotte/436/1976/results,1976
147,Monte Carlo WCT,Monte Carlo,Empty,1976.04.13,"$60,000",Guillermo Vilas,Clay,/en/scores/archive/monte-carlo/410/1976/results,1976
148,Madrid,Madrid,Empty,1976.04.19,"$30,000",Victor Pecci,Clay,/en/scores/archive/madrid/309/1976/results,1976
149,Denver WCT,Denver,Empty,1976.04.20,"$60,000",Jimmy Connors,Carpet,/en/scores/archive/denver/389/1976/results,1976
150,Stockholm - WCT,Stockholm,Empty,1976.04.20,"$60,000",Wojtek Fibak,Carpet,/en/scores/archive/stockholm/666/1976/results,1976
151,Sacramento,Sacramento,Empty,1976.04.22,"$25,000",Tom Gorman,Carpet,/en/scores/archive/sacramento/654/1976/results,1976
152,Florence,Florence,Empty,1976.05.03,"$30,000",Paolo Bertolucci,Clay,/en/scores/archive/florence/310/1976/results,1976
