,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
146,Costa do Sauipe,Costa do Sauipe,Empty,2007.02.12,"$456,000",Guillermo Canas,Clay,/en/scores/archive/costa-do-sauipe/533/2007/results,2007
147,San Jose,San Jose,Empty,2007.02.12,"$416,000",Andy Murray,Hard,/en/scores/archive/san-jose/424/2007/results,2007
148,Rotterdam,Rotterdam,Empty,2007.02.19,"$925,000",Mikhail Youzhny,Hard,/en/scores/archive/rotterdam/407/2007/results,2007
149,Memphis,Memphis,Empty,2007.02.19,"$757,000",Tommy Haas,Hard,/en/scores/archive/memphis/402/2007/results,2007
150,Buenos Aires,Buenos Aires,Empty,2007.02.19,"$445,000",Juan Monaco,Clay,/en/scores/archive/buenos-aires/506/2007/results,2007
151,Dubai,Dubai,Empty,2007.02.26,"$1,426,250",Roger Federer,Hard,/en/scores/archive/dubai/495/2007/results,2007
152,Acapulco,Acapulco,Empty,2007.02.26,"$757,000",Juan Ignacio Chela,Clay,/en/scores/archive/acapulco/807/2007/results,2007
153,Las Vegas,Las Vegas,Empty,2007.02.26,"$416,000",Lleyton Hewitt,Hard,/en/scores/archive/las-vegas/433/2007/results,2007
154,ATP Masters 1000 Indian Wells,Indian Wells,Empty,2007.03.05,"$3,285,000",Rafael Nadal,Hard,/en/scores/archive/indian-wells/404/2007/results,2007
155,ATP Masters 1000 Miami,Miami,Empty,2007.03.19,"$3,450,000",Novak Djokovic,Hard,/en/scores/archive/miami/403/2007/results,2007
156,Houston,Houston,Empty,2007.04.09,"$416,000",Ivo Karlovic,Clay,/en/scores/archive/houston/717/2007/results,2007
157,Valencia,Valencia,Empty,2007.04.09,"$416,000",Nicolas Almagro,Clay,/en/scores/archive/valencia/573/2007/results,2007
158,ATP Masters 1000 Monte Carlo,Monte Carlo,Empty,2007.04.15,"$2,450,000",Rafael Nadal,Clay,/en/scores/archive/monte-carlo/410/2007/results,2007
159,Barcelona,Barcelona,Empty,2007.04.23,"$1,000,000",Rafael Nadal,Clay,/en/scores/archive/barcelona/425/2007/results,2007
160,Casablanca,Casablanca,Empty,2007.04.23,"$416,000",Paul-Henri Mathieu,Clay,/en/scores/archive/casablanca/360/2007/results,2007
161,Estoril,Estoril,Empty,2007.04.29,"$625,000",Novak Djokovic,Clay,/en/scores/archive/estoril/468/2007/results,2007
162,Munich,Munich,Empty,2007.04.30,"$416,000",Philipp Kohlschreiber,Clay,/en/scores/archive/munich/308/2007/results,2007
163,ATP Masters 1000 Rome,Rome,Empty,2007.05.07,"$2,450,000",Rafael Nadal,Clay,/en/scores/archive/rome/416/2007/results,2007
164,ATP Masters 1000 Hamburg,Hamburg,Empty,2007.05.14,"$2,450,000",Roger Federer,Clay,/en/scores/archive/hamburg/414/2007/results,2007
165,World Team Championship,Dusseldorf,Empty,2007.05.20,"$1,680,500",Agustin Calleri,Clay,/en/scores/archive/dusseldorf/615/2007/results,2007
166,Poertschach,Poertschach,Empty,2007.05.20,"$416,000",Juan Monaco,Clay,/en/scores/archive/poertschach/306/2007/results,2007
167,Roland Garros,Paris,Empty,2007.05.28,"$9,334,932",Rafael Nadal,Clay,/en/scores/archive/roland-garros/520/2007/results,2007
168,Halle,Halle,Empty,2007.06.11,"$800,000",Tomas Berdych,Grass,/en/scores/archive/halle/500/2007/results,2007
169,London / Queen's Club,London,Empty,2007.06.11,"$800,000",Andy Roddick,Grass,/en/scores/archive/london/311/2007/results,2007
170,'s-Hertogenbosch,s-Hertogenbosch,Empty,2007.06.17,"$416,000",Ivan Ljubicic,Grass,/en/scores/archive/s-hertogenbosch/440/2007/results,2007
171,Nottingham,Nottingham,Empty,2007.06.18,"$416,000",Ivo Karlovic,Grass,/en/scores/archive/nottingham/741/2007/results,2007
172,Wimbledon,London,Empty,2007.06.25,"$10,039,193",Roger Federer,Grass,/en/scores/archive/wimbledon/540/2007/results,2007
173,Gstaad,Gstaad,Empty,2007.07.09,"$496,000",Paul-Henri Mathieu,Clay,/en/scores/archive/gstaad/314/2007/results,2007
174,Bastad,Bastad,Empty,2007.07.09,"$416,000",David Ferrer,Clay,/en/scores/archive/bastad/316/2007/results,2007
175,Newport,Newport,Empty,2007.07.09,"$416,000",Fabrice Santoro,Grass,/en/scores/archive/newport/315/2007/results,2007
176,Stuttgart,Stuttgart,Empty,2007.07.16,"$757,000",Rafael Nadal,Clay,/en/scores/archive/stuttgart/321/2007/results,2007
177,Los Angeles,Los Angeles,Empty,2007.07.16,"$525,000",Radek Stepanek,Hard,/en/scores/archive/los-angeles/423/2007/results,2007
178,Amersfoort,Amersfoort,Empty,2007.07.16,"$416,000",Steve Darcis,Clay,/en/scores/archive/amersfoort/317/2007/results,2007
179,Kitzbuhel,Kitzbuhel,Empty,2007.07.23,"$735,000",Juan Monaco,Clay,/en/scores/archive/kitzbuhel/319/2007/results,2007
180,Indianapolis,Indianapolis,Empty,2007.07.23,"$525,000",Dmitry Tursunov,Hard,/en/scores/archive/indianapolis/419/2007/results,2007
181,Umag,Umag,Empty,2007.07.23,"$416,000",Carlos Moya,Clay,/en/scores/archive/umag/439/2007/results,2007
182,Washington,Washington,Empty,2007.07.29,"$600,000",Andy Roddick,Hard,/en/scores/archive/washington/418/2007/results,2007
183,Sopot,Sopot,Empty,2007.07.30,"$500,000",Tommy Robredo,Clay,/en/scores/archive/sopot/475/2007/results,2007
184,ATP Masters 1000 Canada,Montreal,Empty,2007.08.05,"$2,450,000",Novak Djokovic,Hard,/en/scores/archive/montreal/421/2007/results,2007
185,ATP Masters 1000 Cincinnati,Cincinnati,Empty,2007.08.13,"$2,450,000",Roger Federer,Hard,/en/scores/archive/cincinnati/422/2007/results,2007
186,New Haven,New Haven,Empty,2007.08.19,"$675,000",James Blake,Hard,/en/scores/archive/new-haven/3348/2007/results,2007
187,US Open,New York,Empty,2007.08.27,"$8,848,000",Roger Federer,Hard,/en/scores/archive/us-open/560/2007/results,2007
188,Beijing,Beijing,Empty,2007.09.10,"$500,000",Fernando Gonzalez,Hard,/en/scores/archive/beijing/747/2007/results,2007
189,Bucharest,Bucharest,Empty,2007.09.10,"$416,000",Gilles Simon,Clay,/en/scores/archive/bucharest/773/2007/results,2007
190,Bangkok,Bangkok,Empty,2007.09.24,"$550,000",Dmitry Tursunov,Hard,/en/scores/archive/bangkok/1720/2007/results,2007
191,Mumbai,Mumbai,Empty,2007.09.24,"$416,000",Richard Gasquet,Hard,/en/scores/archive/mumbai/3465/2007/results,2007
192,Tokyo,Tokyo,Empty,2007.10.01,"$832,000",David Ferrer,Hard,/en/scores/archive/tokyo/329/2007/results,2007
193,Metz,Metz,Empty,2007.10.01,"$416,000",Tommy Robredo,Hard,/en/scores/archive/metz/341/2007/results,2007
194,Stockholm,Stockholm,Empty,2007.10.07,"$800,000",Ivo Karlovic,Hard,/en/scores/archive/stockholm/429/2007/results,2007
195,Vienna,Vienna,Empty,2007.10.07,"$757,000",Novak Djokovic,Hard,/en/scores/archive/vienna/337/2007/results,2007
196,Moscow,Moscow,Empty,2007.10.08,"$1,000,000",Nikolay Davydenko,Hard,/en/scores/archive/moscow/438/2007/results,2007
197,ATP Masters 1000 Madrid,Madrid,Empty,2007.10.15,"$2,450,000",David Nalbandian,Hard,/en/scores/archive/madrid/1536/2007/results,2007
198,Basel,Basel,Empty,2007.10.22,"$1,000,000",Roger Federer,Hard,/en/scores/archive/basel/328/2007/results,2007
199,St. Petersburg,St. Petersburg,Empty,2007.10.22,"$1,000,000",Andy Murray,Carpet,/en/scores/archive/st-petersburg/568/2007/results,2007
200,Lyon,Lyon,Empty,2007.10.22,"$800,000",Sebastien Grosjean,Carpet,/en/scores/archive/lyon/7309/2007/results,2007
201,ATP Masters 1000 Paris,Paris,Empty,2007.10.28,"$2,450,000",David Nalbandian,Hard,/en/scores/archive/paris/352/2007/results,2007
202,Tennis Masters Cup,,Empty,2007.11.12,"$3,800,000",Roger Federer,Hard,/en/scores/archive/tennis-masters-cup/605/2007/results,2007
203,Doha,Doha,Empty,2007.12.31,"$1,049,000",Andy Murray,Hard,/en/scores/archive/doha/451/2008/results,2008
204,Adelaide,Adelaide,Empty,2007.12.31,"$465,000",Michael Llodra,Hard,/en/scores/archive/adelaide/7308/2008/results,2008
205,Chennai,Chennai,Empty,2007.12.31,"$436,000",Mikhail Youzhny,Hard,/en/scores/archive/chennai/891/2008/results,2008
206,Sydney,Sydney,Empty,2008.01.07,"$465,000",Dmitry Tursunov,Hard,/en/scores/archive/sydney/338/2008/results,2008
207,Auckland,Auckland,Empty,2008.01.07,"$464,000",Philipp Kohlschreiber,Hard,/en/scores/archive/auckland/301/2008/results,2008
208,Australian Open,Melbourne,Empty,2008.01.14,"A$9,609,870",Novak Djokovic,Hard,/en/scores/archive/australian-open/580/2008/results,2008
209,Viña del Mar,Vina Del Mar,Empty,2008.01.28,"$462,000",Fernando Gonzalez,Clay,/en/scores/archive/vina-del-mar/505/2008/results,2008
210,Marseille,Marseille,Empty,2008.02.11,"€534,000",Andy Murray,Hard,/en/scores/archive/marseille/496/2008/results,2008
211,Costa do Sauipe,Costa do Sauipe,Empty,2008.02.11,"$485,000",Nicolas Almagro,Clay,/en/scores/archive/costa-do-sauipe/533/2008/results,2008
212,Delray Beach,Delray Beach,Empty,2008.02.11,"$436,000",Kei Nishikori,Hard,/en/scores/archive/delray-beach/499/2008/results,2008
213,Rotterdam,Rotterdam,Empty,2008.02.18,"€824,000",Michael Llodra,Hard,/en/scores/archive/rotterdam/407/2008/results,2008
214,Buenos Aires,Buenos Aires,Empty,2008.02.18,"$466,000",David Nalbandian,Clay,/en/scores/archive/buenos-aires/506/2008/results,2008
215,San Jose,San Jose,Empty,2008.02.18,"$436,000",Andy Roddick,Hard,/en/scores/archive/san-jose/424/2008/results,2008
216,Acapulco,Acapulco,Empty,2008.02.25,"$794,000",Nicolas Almagro,Clay,/en/scores/archive/acapulco/807/2008/results,2008
217,Memphis,Memphis,Empty,2008.02.25,"$769,000",Steve Darcis,Hard,/en/scores/archive/memphis/402/2008/results,2008
218,Zagreb,Zagreb,Empty,2008.02.25,"€370,000",Sergiy Stakhovsky,Hard,/en/scores/archive/zagreb/2276/2008/results,2008
219,Dubai,Dubai,Empty,2008.03.03,"$1,426,000",Andy Roddick,Hard,/en/scores/archive/dubai/495/2008/results,2008
220,Las Vegas,Las Vegas,Empty,2008.03.03,"$436,000",Sam Querrey,Hard,/en/scores/archive/las-vegas/433/2008/results,2008
221,ATP Masters 1000 Indian Wells,Indian Wells,Empty,2008.03.13,"$3,677,245",Novak Djokovic,Hard,/en/scores/archive/indian-wells/404/2008/results,2008
222,ATP Masters 1000 Miami,Miami,Empty,2008.03.27,"$3,770,000",Nikolay Davydenko,Hard,/en/scores/archive/miami/403/2008/results,2008
223,Houston,Houston,Empty,2008.04.14,"$436,000",Marcel Granollers,Clay,/en/scores/archive/houston/717/2008/results,2008
224,Estoril,Estoril,Empty,2008.04.14,"€370,000",Roger Federer,Clay,/en/scores/archive/estoril/468/2008/results,2008
225,Valencia,Valencia,Empty,2008.04.14,"€370,000",David Ferrer,Clay,/en/scores/archive/valencia/573/2008/results,2008
226,ATP Masters 1000 Monte Carlo,Monte Carlo,Empty,2008.04.20,"€2,270,000",Rafael Nadal,Clay,/en/scores/archive/monte-carlo/410/2008/results,2008
227,Barcelona,Barcelona,Empty,2008.04.28,"€824,000",Rafael Nadal,Clay,/en/scores/archive/barcelona/425/2008/results,2008
228,Munich,Munich,Empty,2008.04.28,"€370,000",Fernando Gonzalez,Clay,/en/scores/archive/munich/308/2008/results,2008
229,ATP Masters 1000 Rome,Rome,Empty,2008.05.05,"€2,270,000",Novak Djokovic,Clay,/en/scores/archive/rome/416/2008/results,2008
230,ATP Masters 1000 Hamburg,Hamburg,Empty,2008.05.11,"€2,270,000",Rafael Nadal,Clay,/en/scores/archive/hamburg/414/2008/results,2008
231,World Team Championship,Dusseldorf,Empty,2008.05.18,"€1,692,000",Igor Andreev,Clay,/en/scores/archive/dusseldorf/615/2008/results,2008
232,Casablanca,Casablanca,Empty,2008.05.18,"€370,000",Gilles Simon,Clay,/en/scores/archive/casablanca/360/2008/results,2008
233,Poertschach,Poertschach,Empty,2008.05.18,"€370,000",Nikolay Davydenko,Clay,/en/scores/archive/poertschach/306/2008/results,2008
234,Roland Garros,Paris,Empty,2008.05.25,"€7,077,680",Rafael Nadal,Clay,/en/scores/archive/roland-garros/520/2008/results,2008
