,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
354,Grigor Dimitrov,Bradley Klahn,3,1,Australian Open,2014,Melbourne,Australia
355,Ernests Gulbis,Juan Monaco,3,1,Australian Open,2014,Melbourne,Australia
356,Andreas Seppi,Lleyton Hewitt,3,2,Australian Open,2014,Melbourne,Australia
357,Gael Monfils,Ryan Harrison,2,1,Australian Open,2014,Melbourne,Australia
358,Feliciano Lopez,Somdev Devvarman,2,1,Australian Open,2014,Melbourne,Australia
359,Benoit Paire,Frank Dancevic,2,1,Australian Open,2014,Melbourne,Australia
360,Vasek Pospisil,Sam Groth,2,1,Australian Open,2014,Melbourne,Australia
361,Jeremy Chardy,Jesse Huta Galung,2,1,Australian Open,2014,Melbourne,Australia
362,Dmitry Tursunov,Michael Russell,2,1,Australian Open,2014,Melbourne,Australia
363,Fernando Verdasco,Ze Zhang,3,1,Australian Open,2014,Melbourne,Australia
364,Ivan Dodig,Ivo Karlovic,2,1,Australian Open,2014,Melbourne,Australia
365,Pablo Andujar,Albert Ramos-Vinolas,2,1,Australian Open,2014,Melbourne,Australia
366,Roberto Bautista Agut,Tim Smyczek,2,1,Australian Open,2014,Melbourne,Australia
367,Thomaz Bellucci,Julian Reister,2,1,Australian Open,2014,Melbourne,Australia
368,Julien Benneteau,Pablo Carreno Busta,3,2,Australian Open,2014,Melbourne,Australia
369,Michael Berrer,Michael Llodra,2,1,Australian Open,2014,Melbourne,Australia
370,Marin Cilic,Marcel Granollers,3,2,Australian Open,2014,Melbourne,Australia
371,Nikolay Davydenko,Lukasz Kubot,3,2,Australian Open,2014,Melbourne,Australia
372,Kenny De Schepper,Di Wu,2,1,Australian Open,2014,Melbourne,Australia
373,Alexandr Dolgopolov,Ricardas Berankis,2,1,Australian Open,2014,Melbourne,Australia
374,Damir Dzumhur,Jan Hajek,2,1,Australian Open,2014,Melbourne,Australia
375,Matthew Ebden,Nicolas Mahut,3,2,Australian Open,2014,Melbourne,Australia
376,Alejandro Falla,Mikhail Kukushkin,3,1,Australian Open,2014,Melbourne,Australia
377,Teymuraz Gabashvili,Sergiy Stakhovsky,3,1,Australian Open,2014,Melbourne,Australia
378,Victor Hanescu,Peter Gojowczyk,2,1,Australian Open,2014,Melbourne,Australia
379,Denis Istomin,Marcos Baghdatis,2,1,Australian Open,2014,Melbourne,Australia
380,Blaz Kavcic,Radek Stepanek,3,1,Australian Open,2014,Melbourne,Australia
381,Thanasi Kokkinakis,Igor Sijsling,3,1,Australian Open,2014,Melbourne,Australia
382,Nick Kyrgios,Benjamin Becker,3,1,Australian Open,2014,Melbourne,Australia
383,Dusan Lajovic,Lucas Pouille,3,1,Australian Open,2014,Melbourne,Australia
384,Yen-Hsun Lu,Jimmy Wang,2,1,Australian Open,2014,Melbourne,Australia
385,Adrian Mannarino,Steve Johnson,3,2,Australian Open,2014,Melbourne,Australia
386,Florian Mayer,Denis Kudla,2,1,Australian Open,2014,Melbourne,Australia
387,Leonardo Mayer,Albert Montanes,2,1,Australian Open,2014,Melbourne,Australia
388,Vincent Millot,Wayne Odesnik,3,2,Australian Open,2014,Melbourne,Australia
389,Jarkko Nieminen,Dudi Sela,3,2,Australian Open,2014,Melbourne,Australia
390,Michal Przysiezny,Horacio Zeballos,2,1,Australian Open,2014,Melbourne,Australia
391,Sam Querrey,Santiago Giraldo,3,1,Australian Open,2014,Melbourne,Australia
392,Stephane Robert,Aljaz Bedene,2,1,Australian Open,2014,Melbourne,Australia
393,Edouard Roger-Vasselin,Carlos Berlocq,3,1,Australian Open,2014,Melbourne,Australia
394,Blaz Rola,Federico Delbonis,2,1,Australian Open,2014,Melbourne,Australia
