,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
289,Marrakech,Marrakech,Morocco,2019.04.08,"€586,140",Benoit Paire,Clay,/en/scores/archive/marrakech/360/2019/results,2019
290,ATP Masters 1000 Monte Carlo,Monte Carlo,Monaco,2019.04.14,"€5,585,030",Fabio Fognini,Clay,/en/scores/archive/monte-carlo/410/2019/results,2019
291,Barcelona,Barcelona,Spain,2019.04.22,"€2,746,455",Dominic Thiem,Clay,/en/scores/archive/barcelona/425/2019/results,2019
292,Budapest,Budapest,Hungary,2019.04.22,"€586,140",Matteo Berrettini,Clay,/en/scores/archive/budapest/7648/2019/results,2019
293,Estoril,Estoril,Portugal,2019.04.29,"€586,140",Stefanos Tsitsipas,Clay,/en/scores/archive/estoril/7290/2019/results,2019
294,Munich,Munich,Germany,2019.04.29,"€586,140",Cristian Garin,Clay,/en/scores/archive/munich/308/2019/results,2019
295,ATP Masters 1000 Madrid,Madrid,Spain,2019.05.05,"€7,279,270",Novak Djokovic,Clay,/en/scores/archive/madrid/1536/2019/results,2019
296,ATP Masters 1000 Rome,Rome,Italy,2019.05.12,"€5,791,280",Rafael Nadal,Clay,/en/scores/archive/rome/416/2019/results,2019
297,Geneva,Geneva,Switzerland,2019.05.19,"€586,140",Alexander Zverev,Clay,/en/scores/archive/geneva/322/2019/results,2019
298,Lyon,Lyon,France,2019.05.19,"€586,140",Benoit Paire,Clay,/en/scores/archive/lyon/7694/2019/results,2019
299,Roland Garros,Paris,France,2019.05.26,"€20,060,000",Rafael Nadal,Clay,/en/scores/archive/roland-garros/520/2019/results,2019
300,Stuttgart,Stuttgart,Germany,2019.06.10,"€754,540",Matteo Berrettini,Grass,/en/scores/archive/stuttgart/321/2019/results,2019
301,s-Hertogenbosch,s-Hertogenbosch,Netherlands,2019.06.10,"€711,275",Adrian Mannarino,Grass,/en/scores/archive/s-hertogenbosch/440/2019/results,2019
302,Halle,Halle,Germany,2019.06.17,"€2,219,150",Roger Federer,Grass,/en/scores/archive/halle/500/2019/results,2019
303,London / Queen's Club,London,Great Britain,2019.06.17,"€2,219,150",Feliciano Lopez,Grass,/en/scores/archive/london/311/2019/results,2019
304,Antalya,Antalya,Turkey,2019.06.23,"€507,490",Lorenzo Sonego,Grass,/en/scores/archive/antalya/7650/2019/results,2019
305,Eastbourne,Eastbourne,Great Britain,2019.06.24,"€745,880",Taylor Fritz,Grass,/en/scores/archive/eastbourne/741/2019/results,2019
306,Wimbledon,London,Great Britain,2019.07.01,"£17,769,000",Novak Djokovic,Grass,/en/scores/archive/wimbledon/540/2019/results,2019
307,Newport,Newport,United States,2019.07.14,"$652,245",John Isner,Grass,/en/scores/archive/newport/315/2019/results,2019
308,Bastad,Bastad,Sweden,2019.07.15,"€586,140",Nicolas Jarry,Clay,/en/scores/archive/bastad/316/2019/results,2019
309,Umag,Umag,Croatia,2019.07.15,"€586,140",Dusan Lajovic,Clay,/en/scores/archive/umag/439/2019/results,2019
310,Hamburg,Hamburg,Germany,2019.07.22,"€1,855,490",Nikoloz Basilashvili,Clay,/en/scores/archive/hamburg/414/2019/results,2019
311,Atlanta,Atlanta,United States,2019.07.22,"$777,385",Alex de Minaur,Hard,/en/scores/archive/atlanta/6116/2019/results,2019
312,Gstaad,Gstaad,Switzerland,2019.07.22,"€586,140",Albert Ramos-Vinolas,Clay,/en/scores/archive/gstaad/314/2019/results,2019
313,Washington,Washington,United States,2019.07.27,"$2,046,340",Nick Kyrgios,Hard,/en/scores/archive/washington/418/2019/results,2019
