,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
166,Ajax Amsterdam,Legia Warszawa,1,0,HomeTeam,intermediate stage 2nd leg,Ajax Amsterdam,"Feb 23, 2017"
167,Besiktas JK,Hapoel Beer Sheva,2,1,HomeTeam,intermediate stage 2nd leg,Besiktas JK,"Feb 23, 2017"
168,Zenit St. Petersburg,RSC Anderlecht,3,1,HomeTeam,intermediate stage 2nd leg,RSC Anderlecht,"Feb 23, 2017"
169,Olympique Lyon,AZ Alkmaar,7,1,HomeTeam,intermediate stage 2nd leg,Olympique Lyon,"Feb 23, 2017"
170,Tottenham Hotspur,KAA Gent,2,2,Draw,intermediate stage 2nd leg,KAA Gent,"Feb 23, 2017"
171,Shakhtar Donetsk,Celta de Vigo,0,2,AwayTeam,intermediate stage 2nd leg,Celta de Vigo,"Feb 23, 2017"
172,KRC Genk,Astra Giurgiu,1,0,HomeTeam,intermediate stage 2nd leg,KRC Genk,"Feb 23, 2017"
173,ACF Fiorentina,Borussia Mönchengladbach,2,4,AwayTeam,intermediate stage 2nd leg,Borussia Mönchengladbach,"Feb 23, 2017"
174,AC Sparta Praha,FK Rostov,1,1,Draw,intermediate stage 2nd leg,FK Rostov,"Feb 23, 2017"
175,FC Copenhagen,PFK Ludogorets Razgrad,0,0,Draw,intermediate stage 2nd leg,FC Copenhagen,"Feb 23, 2017"
176,FC Copenhagen,Ajax Amsterdam,2,1,HomeTeam,last 16 1st leg,-,"Mar 9, 2017"
177,APOEL Nicosia,RSC Anderlecht,0,1,AwayTeam,last 16 1st leg,-,"Mar 9, 2017"
178,FK Rostov,Manchester United,1,1,Draw,last 16 1st leg,-,"Mar 9, 2017"
179,Celta de Vigo,FK Krasnodar,2,1,HomeTeam,last 16 1st leg,-,"Mar 9, 2017"
180,Olympiacos Piraeus,Besiktas JK,1,1,Draw,last 16 1st leg,-,"Mar 9, 2017"
181,Olympique Lyon,AS Roma,4,2,HomeTeam,last 16 1st leg,-,"Mar 9, 2017"
182,KAA Gent,KRC Genk,2,5,AwayTeam,last 16 1st leg,-,"Mar 9, 2017"
