,Name,URL,Age,Rank
408,Marcos Hocevar,/en/players/marcos-hocevar/h026/overview,27,37
409,Buster C. Mottram,/en/players/buster-c.-mottram/m154/overview,27,40
410,Dominique Bedel,/en/players/dominique-bedel/b030/overview,26,42
411,Bernard Boileau,/en/players/bernard-boileau/b054/overview,23,45T
412,Jaime Fillol Sr.,/en/players/jaime-fillol-sr./f024/overview,36,49T
413,Jairo Velasco Sr,/en/players/jairo-velasco-sr/v294/overview,35,49T
414,Russell Simpson,/en/players/russell-simpson/s052/overview,29,56
415,Victor Amaya,/en/players/victor-amaya/a044/overview,28,64
416,Rodney Harmon,/en/players/rodney-harmon/h005/overview,21,65
417,Pat Dupre,/en/players/pat-dupre/d048/overview,28,67T
418,Drew Gitlin,/en/players/drew-gitlin/g018/overview,24,67T
419,Hans Simonsson,/en/players/hans-simonsson/s053/overview,20,70
420,Eddie Dibbs,/en/players/eddie-dibbs/d026/overview,32,73
421,Magnus Tideman,/en/players/magnus-tideman/t021/overview,19,76
422,Francisco Gonzalez,/en/players/francisco-gonzalez/g024/overview,27,85
423,Peter Elter,/en/players/peter-elter/e013/overview,24,86
424,Jeff Borowiak,/en/players/jeff-borowiak/b059/overview,33,87
425,Joao Soares,/en/players/joao-soares/s062/overview,31,88
426,Tom Cain,/en/players/tom-cain/c002/overview,24,89
427,Lloyd Bourne,/en/players/lloyd-bourne/b066/overview,24,90
428,Bruce Manson,/en/players/bruce-manson/m014/overview,27,92
429,Kim Warwick,/en/players/kim-warwick/w006/overview,30,96
430,Mike Estep,/en/players/mike-estep/e040/overview,33,97
431,Bernard Fritz,/en/players/bernard-fritz/f045/overview,29,100
432,Bjorn Borg,/en/players/bjorn-borg/b058/overview,25,4
433,Stan Smith,/en/players/stan-smith/s060/overview,35,18
434,Rolf Gehring,/en/players/rolf-gehring/g007/overview,26,48
435,Rod Frawley,/en/players/rod-frawley/f039/overview,29,49
436,Adriano Panatta,/en/players/adriano-panatta/p059/overview,31,50
437,Phil Dent,/en/players/phil-dent/d074/overview,32,51
438,Jose Luis Damiani,/en/players/jose-luis-damiani/d069/overview,25,61
439,Stanislav Birner,/en/players/stanislav-birner/b046/overview,25,64
440,Ricardo Cano,/en/players/ricardo-cano/c010/overview,31,65
441,Ilie Nastase,/en/players/ilie-nastase/n008/overview,35,68
442,Jose Lopez-Maeso,/en/players/jose-lopez-maeso/l039/overview,25,75
443,Peter Rennert,/en/players/peter-rennert/r017/overview,23,76
444,John Austin,/en/players/john-austin/a053/overview,24,77
445,Tony Giammalva,/en/players/tony-giammalva/g011/overview,23,78
446,Ricardo Ycaza,/en/players/ricardo-ycaza/y007/overview,24,80
447,Matt Doyle,/en/players/matt-doyle/d039/overview,24,83
448,Ulrich Pinner,/en/players/ulrich-pinner/p034/overview,28,87
449,Alejandro Ganzabal,/en/players/alejandro-ganzabal/g001/overview,22,92
450,Dick Stockton,/en/players/dick-stockton/s090/overview,31,93T
451,Gilles Moretton,/en/players/gilles-moretton/m119/overview,24,95
452,Juan Avendano,/en/players/juan-avendano/a039/overview,21,96
453,Robert Lutz,/en/players/robert-lutz/l045/overview,33,20
454,Trey Waltke,/en/players/trey-waltke/w045/overview,25,45
455,Pascal Portes,/en/players/pascal-portes/p042/overview,21,47
456,Butch Walts,/en/players/butch-walts/w002/overview,25,54
457,Kjell Johansson,/en/players/kjell-johansson/j032/overview,30,56
458,Thomaz Koch,/en/players/thomaz-koch/k036/overview,35,59
459,Per Hjertquist,/en/players/per-hjertquist/h024/overview,20,70
460,Ferdi Taygan,/en/players/ferdi-taygan/t037/overview,24,73
461,Paolo Bertolucci,/en/players/paolo-bertolucci/b129/overview,29,74
462,Paul Kronk,/en/players/paul-kronk/k073/overview,26,80
463,Andrew Pattison,/en/players/andrew-pattison/p074/overview,32,82
464,Zeljko Franulovic,/en/players/zeljko-franulovic/f074/overview,33,83
465,Angel Gimenez,/en/players/angel-gimenez/g017/overview,25,86T
466,Gustavo Guerrero,/en/players/gustavo-guerrero/g047/overview,21,89
467,Onny Parun,/en/players/onny-parun/p070/overview,33,91
468,Rick Meyer,/en/players/rick-meyer/m061/overview,25,93
469,Christophe Freyss,/en/players/christophe-freyss/f042/overview,24,97
470,Jan Norback,/en/players/jan-norback/n047/overview,24,98
471,Haroon Ismail,/en/players/haroon-ismail/i005/overview,26,99
472,Marty Riessen,/en/players/marty-riessen/r055/overview,38,42
473,Christofer Delaney,/en/players/christofer-delaney/d071/overview,22,48
474,Colin Dibley,/en/players/colin-dibley/d076/overview,35,51
475,Tom Gorman,/en/players/tom-gorman/g078/overview,34,57
476,Peter Feigl,/en/players/peter-feigl/f011/overview,28,60
477,Tom Okker,/en/players/tom-okker/o032/overview,36,62
478,Mark Cox,/en/players/mark-cox/c090/overview,36,63
479,Geoff Masters,/en/players/geoff-masters/m139/overview,29,66
480,Erik Van Dillen,/en/players/erik-van-dillen/v049/overview,29,67
481,Billy Martin,/en/players/billy-martin/m138/overview,23,70
482,Jean-Francois Caujolle,/en/players/jean-francois-caujolle/c082/overview,26,74
483,Patrice Dominguez,/en/players/patrice-dominguez/d080/overview,30,75
484,Charles Owens,/en/players/charles-owens/o033/overview,29,78
485,Ross Case,/en/players/ross-case/c020/overview,28,81T
486,Chris Mayotte,/en/players/chris-mayotte/m141/overview,22,85T
487,Robert Trogolo,/en/players/robert-trogolo/t052/overview,26,85T
488,David Carter,/en/players/david-carter/c072/overview,23,89T
489,Carlos Gattiker,/en/players/carlos-gattiker/g005/overview,23,95
490,Arthur Ashe,/en/players/arthur-ashe/a063/overview,36,97
491,Alejandro Pierola,/en/players/alejandro-pierola/p030/overview,30,99
492,Steve Krulevitz,/en/players/steve-krulevitz/k053/overview,28,100
493,John Newcombe,/en/players/john-newcombe/n044/overview,34,31
494,Tony Roche,/en/players/tony-roche/r073/overview,33,36
495,Ken Rosewall,/en/players/ken-rosewall/r075/overview,44,39
496,Allan Stone,/en/players/allan-stone/s148/overview,33,57
497,Mike Cahill,/en/players/mike-cahill/c075/overview,26,58
498,Deon Joubert,/en/players/deon-joubert/j021/overview,25,62
499,John Marks,/en/players/john-marks/m136/overview,26,67
500,Vladimir Zednik,/en/players/vladimir-zednik/z023/overview,32,70
501,Sherwood Stewart,/en/players/sherwood-stewart/s082/overview,32,77
502,David Schneider,/en/players/david-schneider/s115/overview,23,82
503,Ove Nils Bengtson,/en/players/ove-nils-bengtson/b126/overview,33,84
504,Pavel Hutka,/en/players/pavel-hutka/h097/overview,30,85
505,John James,/en/players/john-james/j029/overview,27,86
506,Jorge Andrew,/en/players/jorge-andrew/a061/overview,27,87T
507,Alvin Gardiner,/en/players/alvin-gardiner/g070/overview,28,87T
508,Cliff Richey,/en/players/cliff-richey/r071/overview,32,92
509,Patrick Proisy,/en/players/patrick-proisy/p085/overview,29,95
510,Erick Iskersky,/en/players/erick-iskersky/i004/overview,21,98T
511,Werner Zirngibl,/en/players/werner-zirngibl/z012/overview,22,98T
512,Steve Docherty,/en/players/steve-docherty/d078/overview,28,100
513,Cliff Drysdale,/en/players/cliff-drysdale/d082/overview,36,33
514,Karl Meiler,/en/players/karl-meiler/m055/overview,28,34
515,Tom Leonard,/en/players/tom-leonard/l061/overview,29,38
516,Raymond Moore,/en/players/raymond-moore/m118/overview,31,43
517,Jan Kodes,/en/players/jan-kodes/k049/overview,32,45
518,Bob Hewitt,/en/players/bob-hewitt/h058/overview,38,54
519,Antonio Zugarelli,/en/players/antonio-zugarelli/z013/overview,28,57
520,Mike Fishbach,/en/players/mike-fishbach/f092/overview,23,58T
521,Robin Drysdale,/en/players/robin-drysdale/d042/overview,25,60
522,Francois Jauffret,/en/players/francois-jauffret/j031/overview,36,63
523,Jurgen Fassbender,/en/players/jurgen-fassbender/f068/overview,29,64
524,Cliff Letcher,/en/players/cliff-letcher/l062/overview,26,65
525,Byron Bertram,/en/players/byron-bertram/b130/overview,25,68
526,Frew McMillan,/en/players/frew-mcmillan/m111/overview,35,69
527,Ismail El Shafei,/en/players/ismail-el-shafei/e038/overview,30,74
528,Dick Crealy,/en/players/dick-crealy/c093/overview,33,77
529,Patricio Cornejo,/en/players/patricio-cornejo/c088/overview,33,78
530,Georges Goven,/en/players/georges-goven/g031/overview,29,79
531,Jiri Granat,/en/players/jiri-granat/g040/overview,23,80
532,Jiri Hrebec,/en/players/jiri-hrebec/h066/overview,27,83
533,Bob Giltinan,/en/players/bob-giltinan/g074/overview,28,84
534,Ion Tiriac,/en/players/ion-tiriac/t040/overview,38,86
535,Nikola Pilic,/en/players/nikola-pilic/p080/overview,38,89
536,Brian Fairlie,/en/players/brian-fairlie/f066/overview,29,92
537,George Hardie,/en/players/george-hardie/h056/overview,25,93
538,Ray Ruffels,/en/players/ray-ruffels/r076/overview,31,94
539,Anand Amritraj,/en/players/anand-amritraj/a021/overview,25,95
540,John Yuill,/en/players/john-yuill/y008/overview,29,96
541,Marcelo Lara,/en/players/marcelo-lara/l057/overview,30,97
542,Ivan Molina,/en/players/ivan-molina/m152/overview,31,98
543,Rod Laver,/en/players/rod-laver/l058/overview,36,4
544,Alex Metreveli,/en/players/alex-metreveli/m271/overview,30,16
545,Juan Gisbert Sr,/en/players/juan-gisbert-sr/g076/overview,32,35
546,Roger Taylor,/en/players/roger-taylor/t050/overview,33,47
547,Hans-Jurgen Pohmann,/en/players/hans-jurgen-pohmann/p082/overview,27,49
548,Charlie Pasarell,/en/players/charlie-pasarell/p072/overview,31,55
549,Paul Gerken,/en/players/paul-gerken/g073/overview,24,60
550,Robert Maud,/en/players/robert-maud/m140/overview,28,64
551,John Andrews,/en/players/john-andrews/a062/overview,23,70
552,Julian Ganzabal,/en/players/julian-ganzabal/g068/overview,28,73
553,Clark Graebner,/en/players/clark-graebner/g079/overview,31,73
554,Hans-Joachim Ploetz,/en/players/hans-joachim-ploetz/p081/overview,31,79
555,John Whitlinger,/en/players/john-whitlinger/w051/overview,21,81
556,Barry Phillips-Moore,/en/players/barry-phillips-moore/p078/overview,37,82
557,Milan Holecek,/en/players/milan-holecek/h059/overview,31,84
558,Tito Vazquez,/en/players/tito-vazquez/v051/overview,26,85
559,Grover Raz Reid,/en/players/grover-raz-reid/r068/overview,23,87
560,Roy Emerson,/en/players/roy-emerson/e030/overview,38,89
561,Hans Kary,/en/players/hans-kary/k041/overview,26,89
562,Jose Edison Mandarino,/en/players/jose-edison-mandarino/m135/overview,33,89
563,Jun Kuki,/en/players/jun-kuki/k054/overview,29,92
564,Bob  Carmichael,/en/players/bob--carmichael/c080/overview,34,95
565,Fred McNair IV,/en/players/fred-mcnair-iv/m146/overview,24,97
566,Jun Kamiwazumi,/en/players/jun-kamiwazumi/k002/overview,27,98
567,William Brown,/en/players/william-brown/b134/overview,30,99
568,Fred Stolle,/en/players/fred-stolle/s129/overview,35,30
569,Peter Szoke,/en/players/peter-szoke/s230/overview,26,51
570,Martin Mulligan,/en/players/martin-mulligan/m155/overview,33,61
571,Pierre Barthes,/en/players/pierre-barthes/b122/overview,32,62
572,Gerald Battrick,/en/players/gerald-battrick/b124/overview,26,64
573,Boro Jovanovic,/en/players/boro-jovanovic/j033/overview,34,68
574,Harald Elschenbroich,/en/players/harald-elschenbroich/e037/overview,32,69
575,Jeff Austin,/en/players/jeff-austin/a065/overview,22,71
576,Owen Davidson,/en/players/owen-davidson/d054/overview,30,73
577,Toshiro Sakai,/en/players/toshiro-sakai/s103/overview,26,80
578,Ian Fletcher,/en/players/ian-fletcher/f071/overview,25,81
579,Jaime Pinto-Bravo,/en/players/jaime-pinto-bravo/p067/overview,34,82
580,Jean-Baptiste Chanfreau,/en/players/jean-baptiste-chanfreau/c083/overview,27,89
581,Antonio Munoz,/en/players/antonio-munoz/m156/overview,23,90
582,Frank Froehling,/en/players/frank-froehling/f079/overview,31,91
583,Jeff Simpson,/en/players/jeff-simpson/s123/overview,23,92
584,Haroon Rahim,/en/players/haroon-rahim/r063/overview,24,94
585,Wanaro N'Godrella,/en/players/wanaro-n'godrella/n045/overview,24,96
586,Butch Seewagen,/en/players/butch-seewagen/s139/overview,27,96
587,Andres Gimeno,/en/players/andres-gimeno/g075/overview,36,49
588,Leif Johansson,/en/players/leif-johansson/j064/overview,21,51
589,John Cooper,/en/players/john-cooper/c171/overview,26,68
590,Bernard Mignot,/en/players/bernard-mignot/m151/overview,24,73
591,Stephen Warboys,/en/players/stephen-warboys/w090/overview,19,73
592,Jim Delaney,/en/players/jim-delaney/d072/overview,20,84
593,John Paish,/en/players/john-paish/p142/overview,25,86
594,Attila Korpas,/en/players/attila-korpas/k090/overview,27,87
595,Szabolcz Baranyi,/en/players/szabolcz-baranyi/b233/overview,29,98
