,TeamName,Country,NoPlayers,AvgAge,NoForeigners,TotalPlayersValue,Coach,AgeCouch,Stadium,StadiumCapacity
638,Vitória Setúbal FC,Portugal,29,"27,0",16,€13.10m,Julio Velázquez,38 Years,Estádio do Bonfim,18.642 Seats
639,Boavista Porto FC,Portugal,26,"27,1",19,€12.85m,Daniel Ramos,49 Years,Estádio do Bessa Sec. XXI,28.263 Seats
640,FC Paços de Ferreira,Portugal,25,"27,0",14,€12.33m,Pepa,39 Years,Estádio Capital do Móvel,9.200 Seats
641,CD Santa Clara,Portugal,24,"26,8",11,€12.05m,João Henriques,47 Years,Estádio de São Miguel,15.000 Seats
642,Belenenses SAD,Portugal,28,"25,9",11,€12.00m,Petit,43 Years,Estádio Nacional do Jamor,41.000 Seats
643,Desportivo Aves,Portugal,29,"25,1",19,€11.43m,Nuno Manta Santos,41 Years,Estádio CD das Aves,5.441 Seats
644,CD Tondela,Portugal,24,"25,4",12,€11.38m,Natxo González,53 Years,Estádio João Cardoso,5.000 Seats
645,Gil Vicente FC,Portugal,25,"26,0",17,€11.35m,Vítor Oliveira,66 Years,Estádio Municipal de Barcelos,12.504 Seats
646,SL Benfica B,Portugal,24,"20,7",12,€13.25m,Renato Paiva,50 Years,Caixa Futebol Campus,2.720 Seats
647,FC Porto B,Portugal,24,"21,1",10,€8.78m,Rui Barros,54 Years,Estádio Dr. Jorge Sampaio,8.500 Seats
648,Estoril Praia,Portugal,31,"25,7",15,€7.65m,Pedro Duarte,40 Years,Estádio António Coimbra da Mota,8.000 Seats
649,GD Chaves,Portugal,34,"26,1",17,€6.93m,César Peixoto,39 Years,Estádio Municipal Eng.º Manuel Branco Teixeira,9.000 Seats
650,Leixões SC,Portugal,32,"26,9",12,€6.33m,Manuel Cajuda,68 Years,Estádio do Mar,9.821 Seats
651,CD Nacional,Portugal,31,"25,9",22,€6.08m,Luís Freire,34 Years,Estádio da Madeira,5.586 Seats
652,SC Farense,Portugal,24,"28,0",13,€5.93m,Sérgio Vieira,37 Years,Estádio São Luís,15.000 Seats
653,UD Vilafranquense,Portugal,29,"26,4",16,€5.88m,Armando Evangelista,46 Years,Estádio Municipal de Rio Maior,6.500 Seats
654,Varzim SC,Portugal,30,"25,7",14,€5.83m,Paulo Alves,50 Years,Estádio do Varzim SC,8.000 Seats
655,CD Mafra,Portugal,26,"26,1",6,€5.30m,Vasco Seabra,36 Years,Parque Desportivo e Municipal de Mafra,6.000 Seats
656,Académico Viseu FC,Portugal,27,"27,4",11,€5.13m,Rui Borges,38 Years,Estádio Municipal do Fontelo,8.046 Seats
657,CD Cova Piedade,Portugal,30,"27,6",22,€4.98m,João Alves,67 Years,Municipal José Martins Vieira,3.500 Seats
658,UD Oliveirense,Portugal,31,"25,7",15,€4.85m,Pedro Miguel,52 Years,Estádio Municipal de Aveiro,30.000 Seats
659,FC Penafiel,Portugal,27,"26,9",9,€4.80m,Miguel Leal,54 Years,Estádio Municipal 25 de Abril,5.230 Seats
660,CD Feirense,Portugal,25,"27,8",11,€4.78m,Filó,47 Years,Estádio Marcolino de Castro,5.401 Seats
661,Académica Coimbra,Portugal,25,"26,8",7,€4.63m,João Carlos Pereira,54 Years,Estádio Cidade de Coimbra,29.744 Seats
662,SC Covilhã,Portugal,26,"27,8",14,€4.33m,Daúto Faquirá,54 Years,Municipal José Santos Pinto,2.055 Seats
663,Casa Pia AC,Portugal,25,"25,3",14,€3.98m,Ricardo Peres,44 Years,Pina Manique,5.000 Seats
664,FCSB,Romania,25,"25,9",4,€34.70m,Bogdan Vintila,48 Years,National Arena,55.634 Seats
665,CFR Cluj,Romania,30,"28,0",14,€31.23m,Dan Petrescu,52 Years,Dr. Constantin Rădulescu,23.500 Seats
666,CS Universitatea Craiova,Romania,32,"25,9",10,€26.50m,Corneliu Papura,46 Years,Ion Oblemenco - New,30.929 Seats
667,Astra Giurgiu,Romania,29,"26,5",11,€18.10m,Bogdan Andone,45 Years,Marin Anastasovici,8.500 Seats
668,FC Viitorul,Romania,36,"23,0",5,€16.20m,Gheorghe Hagi,55 Years,Central,4.554 Seats
669,Dinamo Bukarest,Romania,30,"25,0",9,€11.83m,Adrian Mihalcea,43 Years,Dinamo,15.032 Seats
670,FC Voluntari,Romania,35,"25,3",11,€10.90m,Mihai Teja,41 Years,Anghel Iordanescu,4.600 Seats
671,Gaz Metan Medias,Romania,26,"27,7",10,€9.30m,Edward Iordanescu,41 Years,Municipal Gaz Metan,7.814 Seats
672,FC Botosani,Romania,29,"25,8",16,€8.95m,Marius Croitoru,39 Years,Municipal Botoșani,7.782 Seats
673,Sepsi Sf. Gheorghe,Romania,29,"25,5",11,€8.93m,Leontin Grozavu,52 Years,Municipal Sf. Gheorghe,5.200 Seats
674,FC Hermannstadt,Romania,30,"27,5",13,€8.45m,Vasile Miriuta,51 Years,Municipal Sibiu,14.200 Seats
675,FC Politehnica Iasi,Romania,27,"26,9",12,€6.85m,Mircea Rednic,57 Years,Emil Alexandrescu,11.481 Seats
676,Academica Clinceni,Romania,29,"26,1",11,€6.75m,Ilie Poenaru,43 Years,Clinceni Arena,2.800 Seats
677,AFC Chindia Targoviste,Romania,27,"26,0",6,€6.33m,Viorel Moldovan,47 Years,Ilie Oană,15.500 Seats
678,FC Rapid 1923,Romania,28,"24,1",8,€4.88m,Dan Alexa,40 Years,Regie,10.020 Seats
679,Concordia Chiajna,Romania,33,"23,2",6,€4.33m,Florin Bratu,40 Years,Concordia,5.123 Seats
680,UTA Arad,Romania,26,"24,5",3,€4.05m,László Balint,41 Years,Motorul,4.000 Seats
681,Universitatea Cluj,Romania,30,"24,0",3,€3.88m,Adrian Falub,48 Years,Cluj Arena,30.246 Seats
682,Petrolul Ploiesti,Romania,27,"25,1",7,€3.80m,Constantin Enache,47 Years,Ilie Oană,15.500 Seats
683,SCM FC Arges,Romania,28,"25,0",4,€3.78m,Ionut Badea,44 Years,Nicolae Dobrin,15.000 Seats
684,AFK Csikszereda Miercurea Ciuc,Romania,42,"22,8",13,€3.70m,Valentin Suciu,39 Years,Municipal Miercurea Ciuc,1.200 Seats
685,CS Mioveni,Romania,27,"25,6",2,€3.45m,Claudiu Niculescu,43 Years,Orasenesc,10.000 Seats
686,Turris Turnu Măgurele,Romania,29,"25,2",2,€3.30m,Erik Lincar,41 Years,Municipal Turnu Măgurele,2.000 Seats
687,ACS Viitorul Tg. Jiu,Romania,30,"23,3",1,€3.15m,Cristian Luput,42 Years,Tudor Vladimirescu (2019),12.518 Seats
688,Dunarea Calarasi,Romania,28,"25,2",9,€3.03m,Cristian Pustai,54 Years,Ion Comsa,6.000 Seats
689,FC Metaloglobus Bukarest,Romania,25,"25,5",1,€2.78m,Marius Maldarasanu,44 Years,Metaloglobus,1.000 Seats
690,SSC Farul Constanta,Romania,26,"23,0",2,€2.75m,Ianis Zicu,36 Years,Farul,15.520 Seats
691,Gloria Buzau,Romania,26,"25,0",0,€2.75m,Ilie Stan,52 Years,Municipal Gloria,13.000 Seats
692,Ripensia Timisoara,Romania,26,"24,0",3,€2.68m,Alexandru Pelici,46 Years,Electrica,5.000 Seats
693,ASU Poli Timisoara,Romania,24,"24,1",1,€2.63m,Octavian Benga,39 Years,Știința,2.600 Seats
694,CSM Resita,Romania,30,"26,4",3,€2.55m,Dorinel Munteanu,51 Years,Mircea Chivu,12.500 Seats
695,Pandurii Targu Jiu,Romania,33,"21,1",3,€1.60m,Calin Cojocaru,41 Years,Tudor Vladimirescu (2019),12.518 Seats
696,CS Sportul Snagov,Romania,16,"22,9",1,€925k,Florentin Dumitru,42 Years,Vointa,2.000 Seats
697,Zenit St. Petersburg,Russia,24,"27,5",10,€164.60m,Sergey Semak,44 Years,Gazprom Arena,68.134 Seats
698,FK Krasnodar,Russia,25,"27,6",12,€117.30m,Murad Musaev,36 Years,Stadion Krasnodar,35.179 Seats
699,CSKA Moscow,Russia,24,"23,8",8,€112.03m,Viktor Goncharenko,42 Years,VEB Arena,30.457 Seats
700,Lokomotiv Moscow,Russia,27,"27,7",12,€104.35m,Yuri Semin,72 Years,RZD Arena,27.320 Seats
701,Spartak Moscow,Russia,25,"25,0",8,€97.30m,Domenico Tedesco,34 Years,Otkrytie Arena,45.360 Seats
702,Dinamo Moscow,Russia,24,"28,0",8,€59.70m,Kirill Novikov,39 Years,VTB-Arena,27.000 Seats
703,Rubin Kazan,Russia,28,"24,7",9,€42.60m,Leonid Slutski,48 Years,Zentralstadion Kazan,30.000 Seats
704,FK Rostov,Russia,22,"26,2",6,€37.75m,-,-,-,-
705,Akhmat Grozny,Russia,28,"27,1",10,€31.78m,Igor Shalimov,51 Years,Akhmat-Arena,30.000 Seats
706,Arsenal Tula,Russia,30,"27,4",12,€29.90m,Igor Cherevchenko,45 Years,Arsenal,20.074 Seats
707,FC Sochi,Russia,25,"27,9",9,€29.48m,Vladimir Fedotov,53 Years,Olympiastadion Sochi,48.000 Seats
708,FK Ufa,Russia,28,"25,8",8,€22.63m,Vadim Evseev,44 Years,Neftyanik,15.132 Seats
709,Ural Yekaterinburg,Russia,25,"28,1",10,€21.65m,Dmitri Parfenov,45 Years,Ekaterinburg Arena,27.000 Seats
710,FK Orenburg,Russia,26,"27,0",13,€20.13m,Konstantin Emeljanov,50 Years,Gazovik,7.500 Seats
711,Krylya Sovetov Samara,Russia,27,"28,0",7,€19.70m,Miodrag Bozovic,51 Years,Kosmos-Arena,44.918 Seats
712,FK Tambov,Russia,24,"27,6",4,€12.23m,Sergey Pervushin,50 Years,Mordovia Arena,44.149 Seats
713,FK Nizhny Novgorod,Russia,24,"26,7",0,€9.80m,Robert Evdokimov,50 Years,Nizhny Novgorod Stadium,43.319 Seats
714,Chertanovo Moscow,Russia,29,"22,3",0,€9.78m,Igor Osinjkin,54 Years,"Sportivniy Gorodok, Luzhniki",1.872 Seats
715,Rotor Volgograd,Russia,26,"27,6",2,€9.50m,Aleksandr Khatskevich,46 Years,Volgograd Arena,45.568 Seats
716,Torpedo Moscow,Russia,24,"25,7",1,€8.73m,Sergey Ignashevich,40 Years,Torpedo - Eduard Streltsov Stadion,14.274 Seats
717,FK Khimki,Russia,26,"25,4",2,€8.20m,Sergey Yuran,50 Years,Arena Khimki,18.636 Seats
718,Spartak 2 Moscow,Russia,28,"21,9",6,€7.80m,Roman Pilipchuk,52 Years,FC Spartak Academy Stadium,3.077 Seats
719,Enisey Krasnoyarsk,Russia,33,"26,0",2,€7.48m,Yuri Gazzaev,59 Years,Zentralstadion Krasnoyarsk,15.000 Seats
720,Chaika Peschanokopskoe,Russia,29,"25,8",1,€7.20m,Magomed Adiev,42 Years,Central I.P. Chayka Stadium,3.000 Seats
721,FK Krasnodar 2,Russia,25,"21,3",0,€7.15m,Artem Kulikov,40 Years,Stadium Academy FK Krasnodar,2.600 Seats
722,SKA Khabarovsk,Russia,26,"25,0",2,€7.08m,Aleksey Poddubskiy,47 Years,Lenin Stadion,15.200 Seats
723,Fakel Voronezh,Russia,29,"25,8",1,€7.00m,Vladimir Beschastnykh,46 Years,Zentralstadion profsoyuzov Voronezh,32.750 Seats
724,Neftekhimik Nizhnekamsk,Russia,27,"25,9",2,€6.85m,Yuri Utkulbaev,50 Years,Neftekhimik,3.200 Seats
725,Baltika Kaliningrad,Russia,22,"26,3",3,€6.60m,Evgeni Kaleshin,41 Years,Kaliningrad Stadium,35.000 Seats
726,Tom Tomsk,Russia,29,"25,1",0,€6.53m,Vasili Baskakov,57 Years,Trud,10.028 Seats
727,FK Armavir,Russia,25,"26,3",4,€6.08m,Arsen Papikyan,48 Years,Yunost,3.650 Seats
728,Shinnik Yaroslavl,Russia,25,"26,0",0,€5.88m,Reinhold Mielke,82 Years,Shinnik,22.990 Seats
729,Tekstilshchik Ivanovo,Russia,25,"26,8",0,€5.13m,Sergey Pavlov,64 Years,Stadion Tekstilshchik,9.565 Seats
730,Avangard Kursk,Russia,23,"26,1",0,€4.35m,Igor Belyaev,44 Years,Trudovye Rezervy,11.329 Seats
731,Luch Vladivostok,Russia,22,"25,1",0,€3.08m,Valeri Petrakov,61 Years,Dinamo,10.200 Seats
732,Mordovia Saransk,Russia,21,"24,5",0,€2.93m,Oleg Vasilenko,46 Years,Mordovia Arena,44.442 Seats
733,Celtic FC,Scotland,31,"25,7",21,€100.08m,Neil Lennon,48 Years,Celtic Park,60.832 Seats
734,Rangers FC,Scotland,27,"27,0",22,€62.80m,Steven Gerrard,39 Years,Ibrox Stadium,50.987 Seats
735,Aberdeen FC,Scotland,23,"26,6",13,€13.90m,Derek McInnes,48 Years,Pittodrie Stadium,22.199 Seats
736,Heart of Midlothian FC,Scotland,29,"25,5",18,€13.73m,Daniel Stendel,46 Years,Tynecastle Park,20.099 Seats
737,Hibernian FC,Scotland,24,"27,6",11,€11.23m,Jack Ross,43 Years,Easter Road Stadium,20.250 Seats
738,Motherwell FC,Scotland,24,"25,8",16,€10.63m,Steve Robinson,45 Years,Fir Park,13.750 Seats
739,Kilmarnock FC,Scotland,22,"27,2",10,€7.93m,Alex Dyer,54 Years,Rugby Park,18.128 Seats
740,Ross County FC,Scotland,24,"27,7",8,€7.45m,Steven Ferguson,42 Years,Global Energy Stadium,6.541 Seats
741,Livingston FC,Scotland,26,"26,9",11,€7.10m,Gary Holt,47 Years,Tony Macaroni Arena,9.512 Seats
742,St. Johnstone FC,Scotland,23,"25,8",8,€6.88m,Tommy Wright,56 Years,McDiarmid Park,10.696 Seats
743,St. Mirren FC,Scotland,25,"26,7",15,€5.58m,Jim Goodwin,38 Years,Simple Digital Arena,8.023 Seats
744,Hamilton Academical FC,Scotland,25,"24,6",13,€5.50m,Brian Rice,56 Years,Fountain of Youth Stadium,6.018 Seats
745,Red Star Belgrade,Serbia,27,"26,2",9,€56.80m,Dejan Stanković,41 Years,Rajko Mitić Stadium,51.755 Seats
746,FK Partizan Belgrade,Serbia,24,"26,4",6,€41.85m,Savo Milosevic,46 Years,Partizan Stadion,32.710 Seats
747,FK Cukaricki,Serbia,22,"24,0",5,€15.15m,Aleksandar Veselinović,49 Years,Stadion Cukaricki,4.070 Seats
748,FK Vojvodina Novi Sad,Serbia,26,"24,7",5,€12.20m,Nenad Lalatovic,42 Years,Stadion Karadjordje,14.852 Seats
749,FK Spartak Subotica,Serbia,29,"22,9",6,€9.15m,Vladimir Gacinovic,54 Years,Gradski Stadion Subotica,13.020 Seats
750,FK TSC Backa Topola,Serbia,21,"28,6",2,€8.40m,Zoltán Szabó,47 Years,Stadion Senta,5.000 Seats
751,FK Napredak Krusevac,Serbia,31,"26,4",5,€8.30m,Dragan Ivanovic,50 Years,Stadion Mladost,10.331 Seats
752,FK Vozdovac,Serbia,26,"23,3",5,€8.00m,Jovan Damjanovic,37 Years,Stadion Voždovac,5.174 Seats
753,FK Radnicki Nis,Serbia,25,"26,9",3,€7.38m,Radoslav Batak,42 Years,Stadion Čair,18.151 Seats
754,FK Radnik Surdulica,Serbia,28,"26,1",4,€6.78m,Simo Krunic,51 Years,Gradski Stadion Surdulica,3.312 Seats
755,FK Indjija,Serbia,26,"27,6",2,€6.48m,Aleksandar Janjic,51 Years,Gradski Stadion,3.377 Seats
756,FK Proleter Novi Sad,Serbia,22,"26,4",2,€6.00m,Branko Zigic,38 Years,Stadion Karadjordje,20.000 Seats
757,FK Mladost Lucani,Serbia,30,"26,3",7,€5.98m,Goran Stanic,47 Years,Stadion Mladost,5.944 Seats
758,FK Javor-Matis Ivanjica,Serbia,24,"24,5",2,€5.80m,Igor Bondzulic,39 Years,Stadion kraj Moravice,3.000 Seats
759,FK Rad,Serbia,28,"25,1",3,€5.43m,Marko Micovic,45 Years,Stadion Kralj Petar Prvi,6.000 Seats
760,FK Macva Sabac,Serbia,25,"26,5",1,€4.80m,Dragan Anicic,49 Years,Stadion FK Mačva,8.000 Seats
761,FK Kolubara Lazarevac,Serbia,27,"26,0",2,€3.93m,Zoran Milinkovic,51 Years,Gradski Stadion,1.586 Seats
762,OFK Backa,Serbia,28,"24,3",3,€3.53m,Dejan Radjenovic,44 Years,Stadion Slavko Maletin Vava,5.500 Seats
763,Graficar Belgrad,Serbia,27,"21,3",5,€3.53m,Milija Zizic,41 Years,Stadion Rajko Mitić - Jug,0 Seats
764,FK Kabel Novi Sad,Serbia,23,"24,1",3,€3.20m,Zoran Vasiljevic,48 Years,Stadion Slana Bara,1.000 Seats
765,FK Dinamo Vranje,Serbia,34,"23,8",5,€3.03m,Dragan Antic,56 Years,Stadion Jumko,5.000 Seats
766,FK Metalac Gornji Milanovac,Serbia,23,"23,8",4,€2.80m,Aleksandar Stankovic,39 Years,Stadion FK Metalac,4.500 Seats
767,FK Radnicki Pirot,Serbia,25,"24,0",4,€2.75m,Dejan Celar,44 Years,Dragan Nikolić,13.816 Seats
768,FK Radnicki 1923 Kragujevac,Serbia,23,"24,4",0,€2.70m,Darko Milisavljevic,45 Years,Čika Dača Stadion,15.100 Seats
769,FK Zlatibor Cajetina,Serbia,27,"23,0",3,€2.65m,Predrag Ristanovic,47 Years,Stadion Švajcarija,1.040 Seats
770,OFK Zarkovo,Serbia,25,"24,2",3,€2.53m,Milan Kuljic,44 Years,Stadion Zarkovo,1.000 Seats
771,FK Trayal Kruševac,Serbia,28,"24,8",3,€2.50m,Nenad Sakic,48 Years,Stadion Mladost,18.000 Seats
772,FK Buducnost Dobanovci,Serbia,23,"24,8",4,€2.33m,Dusan Kljajic,56 Years,FK Budućnost(Dobanovci),1.000 Seats
773,FK Novi Pazar,Serbia,23,"25,2",3,€2.10m,Kenan Kolasinac,59 Years,Gradski Stadion,15.000 Seats
774,FK Smederevo,Serbia,31,"23,1",5,€1.98m,Ognjen Koroman,41 Years,Sportski Kompleks,17.200 Seats
775,FK Sindjelic Belgrad,Serbia,27,"22,6",5,€1.93m,Uros Kalinic,46 Years,FK Sindjelić,3.000 Seats
776,FK Zemun,Serbia,26,"23,0",4,€1.55m,Reinhold Mielke,82 Years,Gradski stadion Zemun,9.588 Seats
777,Slovan Bratislava,Slovakia,28,"25,6",21,€15.30m,Jan Kozak,39 Years,Tehelné pole,22.500 Seats
778,DAC Dunajska Streda,Slovakia,27,"22,1",16,€10.43m,Hélder Cristóvão,49 Years,MOL Aréna,13.000 Seats
779,AS Trencin,Slovakia,30,"22,9",21,€5.25m,Norbert Hrncar,49 Years,Pod Dubnom,11.800 Seats
780,MFK Ruzomberok,Slovakia,30,"23,2",3,€5.18m,Jan Haspra,50 Years,Štadión pod Čebraťom,5.000 Seats
781,Spartak Trnava,Slovakia,24,"25,3",13,€4.88m,Ricardo Chéu,38 Years,City Aréna - Štadión Antona Malatinského,19.200 Seats
782,MFK Zemplin Michalovce,Slovakia,29,"22,9",14,€4.78m,Jozef Majoros,42 Years,Mestsky Zemplin,7.000 Seats
783,FC ViOn Zlate Moravce-Vrable,Slovakia,28,"25,2",4,€4.20m,Karol Prazenica,49 Years,Stadion ViOn,5.000 Seats
784,FC Nitra,Slovakia,29,"23,5",9,€3.88m,Anatoliy Demyanenko,61 Years,Pod Zoborom,7.480 Seats
785,MSK Zilina,Slovakia,18,"20,5",5,€3.78m,Reinhold Mielke,82 Years,Pod Dubnom,11.800 Seats
786,SKF Sered,Slovakia,26,"25,5",18,€3.70m,Peter Lerant,43 Years,Stadion ViOn,5.000 Seats
787,FK Pohronie,Slovakia,26,"24,5",10,€2.90m,Mikulas Radvanyi,51 Years,Mestský futbalový štadión Žiar nad Hronom,2.309 Seats
788,FK Senica,Slovakia,21,"20,1",8,€2.18m,Jan Bires,49 Years,OMS Arena,4.165 Seats
789,NK Maribor,Slovenia,27,"27,6",8,€12.58m,Saša Gajser,46 Years,Ljudski Vrt,12.994 Seats
790,NK Olimpija Ljubljana,Slovenia,27,"25,4",14,€10.33m,Safet Hadzic,51 Years,Stadion Stožice,16.038 Seats
791,NK Domzale,Slovenia,25,"26,4",8,€6.58m,Andrej Razdrh,43 Years,Športni park Domžale,3.100 Seats
792,NK Celje,Slovenia,26,"23,3",8,€6.10m,Reinhold Mielke,82 Years,Stadion  Z'dežele,13.059 Seats
793,NK Aluminij Kidricevo,Slovenia,23,"24,0",11,€5.48m,Slobodan Grubor,51 Years,Sportni park Aluminij,2.600 Seats
794,NS Mura,Slovenia,28,"23,8",10,€5.35m,Ante Simundza,48 Years,Fazanerija,5.500 Seats
795,NK Rudar Velenje,Slovenia,29,"25,3",13,€3.93m,Andrej Panadic,51 Years,Ob jezeru,4.300 Seats
796,NK Triglav Kranj,Slovenia,24,"23,6",8,€3.65m,Vlado Smit,40 Years,Sportni center Kranj,4.600 Seats
797,NK Tabor Sezana,Slovenia,29,"24,5",20,€3.13m,Mauro Camoranesi,43 Years,Stadion Rajko Štolfa Sežana,1.810 Seats
798,NK Bravo,Slovenia,24,"23,9",7,€3.03m,Dejan Grabic,39 Years,Športni park Šiška Ljubljana,5.000 Seats
799,Real Madrid,Spain,26,"26,8",19,€888.50m,Zinédine Zidane,47 Years,Santiago Bernabéu,81.044 Seats
800,FC Barcelona,Spain,22,"27,9",15,€852.65m,Quique Setién,61 Years,Camp Nou,99.354 Seats
801,Atlético Madrid,Spain,23,"27,1",15,€709.00m,Diego Simeone,49 Years,Wanda Metropolitano,68.456 Seats
802,Valencia CF,Spain,25,"27,2",16,€426.20m,Albert Celades,44 Years,Mestalla,48.600 Seats
803,Real Sociedad,Spain,22,"25,9",5,€320.50m,Imanol Alguacil,48 Years,Reale Arena,39.500 Seats
804,Sevilla FC,Spain,22,"27,7",12,€255.00m,Julen Lopetegui,53 Years,Ramón Sánchez Pizjuan,43.883 Seats
805,Real Betis Balompié,Spain,24,"27,7",9,€238.30m,Rubi,50 Years,Benito Villamarín,59.378 Seats
806,Athletic Bilbao,Spain,25,"27,9",1,€205.00m,Gaizka Garitano,44 Years,San Mamés,53.289 Seats
807,Villarreal CF,Spain,23,"28,6",6,€186.58m,Javier Calleja,41 Years,La Cerámica,23.500 Seats
808,Getafe CF,Spain,25,"28,3",15,€162.10m,Pepe Bordalás,56 Years,Coliseum Alfonso Pérez,16.800 Seats
809,Celta de Vigo,Spain,24,"26,3",10,€146.35m,Óscar García,46 Years,Balaídos,29.000 Seats
810,RCD Espanyol Barcelona,Spain,26,"27,7",8,€131.85m,Abelardo,49 Years,RCDE Stadium,40.500 Seats
811,Deportivo Alavés,Spain,25,"27,2",5,€87.85m,Asier Garitano,50 Years,Mendizorrotza,19.840 Seats
812,Levante UD,Spain,23,"28,4",6,€83.20m,Paco López,52 Years,Ciutat de València,25.354 Seats
813,CD Leganés,Spain,24,"27,1",10,€81.00m,Javier Aguirre,61 Years,Municipal de Butarque,12.454 Seats
814,Real Valladolid CF,Spain,24,"27,0",5,€77.88m,Sergio,43 Years,Estadio Nuevo José Zorrilla,27.618 Seats
815,RCD Mallorca,Spain,28,"27,9",14,€63.65m,Vicente Moreno,45 Years,Son Moix,20.500 Seats
816,CA Osasuna,Spain,25,"28,1",4,€58.18m,Jagoba Arrasate,41 Years,El Sadar,18.761 Seats
817,Granada CF,Spain,26,"27,1",11,€54.53m,Diego Martinez,39 Years,Nuevo Los Cármenes,19.336 Seats
818,SD Eibar,Spain,24,"30,0",11,€53.35m,José Luis Mendilibar,59 Years,Ipurua,8.164 Seats
819,Girona FC,Spain,27,"27,8",6,€35.08m,Josep Lluís Martí,44 Years,Municipal de Montilivi,11.286 Seats
820,Rayo Vallecano,Spain,25,"28,2",9,€30.70m,Paco Jémez,49 Years,Campo de Fútbol de Vallecas,15.105 Seats
821,Deportivo de La Coruña,Spain,25,"27,5",9,€30.53m,Fernando Vázquez,65 Years,Riazor,32.912 Seats
822,UD Almería,Spain,25,"24,9",11,€28.98m,Guti,43 Years,Estadio de los Juegos Mediterráneos,15.274 Seats
823,SD Huesca,Spain,24,"27,1",6,€27.25m,Míchel,44 Years,El Alcoraz,7.800 Seats
824,Real Zaragoza,Spain,24,"27,0",8,€23.35m,Víctor Fernández,59 Years,La Romareda,33.068 Seats
825,UD Las Palmas,Spain,26,"27,7",6,€23.18m,Pepe Mel,57 Years,Estadio de Gran Canaria,32.392 Seats
826,Cádiz CF,Spain,25,"28,1",8,€18.63m,Álvaro Cervera,54 Years,Ramón de Carranza,21.094 Seats
827,Sporting Gijón,Spain,23,"27,6",6,€17.68m,Miroslav Djukic,54 Years,El Molinón - Enrique Castro Quini,30.000 Seats
828,Málaga CF,Spain,23,"26,9",11,€15.35m,Sergio Pellicer,46 Years,La Rosaleda,30.044 Seats
829,Real Oviedo,Spain,23,"28,4",5,€13.13m,Cuco Ziganda,53 Years,Carlos Tartiere,30.500 Seats
830,CD Tenerife,Spain,23,"27,0",5,€12.40m,Rubén Baraja,44 Years,Heliodoro Rodríguez López,22.824 Seats
831,Albacete Balompié,Spain,24,"28,8",7,€12.40m,Lucas Alcaraz,53 Years,Carlos Belmonte,17.524 Seats
832,CD Mirandés,Spain,22,"26,3",8,€11.93m,Andoni Iraola,37 Years,Anduva,5.759 Seats
833,CD Lugo,Spain,27,"27,5",7,€11.45m,Curro Torres,43 Years,Anxo Carro,7.070 Seats
834,Elche CF,Spain,21,"28,2",2,€11.25m,Pacheta,52 Years,Manuel Martínez Valero,33.732 Seats
835,Racing Santander,Spain,25,"28,6",5,€10.15m,José Luis Oltra,51 Years,El Sardinero,22.222 Seats
836,CD Numancia,Spain,24,"26,6",4,€9.78m,Luis Miguel Carrión,41 Years,Los Pajaritos,8.261 Seats
837,AD Alcorcón,Spain,25,"27,6",6,€9.70m,Fran Fernández,40 Years,Santo Domingo,5.100 Seats
838,CF Fuenlabrada,Spain,24,"27,6",6,€8.93m,José Ramón Sandoval,51 Years,Fernando Torres,6.000 Seats
839,Extremadura UD,Spain,23,"27,9",6,€8.55m,Manuel Mosquera,51 Years,Estadio Francisco de la Hera,11.580 Seats
840,SD Ponferradina,Spain,24,"27,4",5,€8.53m,Bolo,46 Years,El Toralín,8.432 Seats
841,Malmö FF,Sweden,24,"27,9",9,€19.30m,Jon Dahl Tomasson,43 Years,Stadion,24.000 Seats
842,Hammarby IF,Sweden,27,"26,1",11,€15.20m,Stefan Billborn,47 Years,Tele2 Arena,32.000 Seats
843,AIK,Sweden,26,"27,2",13,€12.90m,Rikard Norling,48 Years,Friends Arena,54.329 Seats
844,Djurgardens IF,Sweden,22,"26,7",9,€12.70m,Kim Bergstrand,51 Years,Tele2 Arena,32.000 Seats
845,IFK Norrköping,Sweden,24,"23,9",8,€11.40m,Jens Gustafsson,41 Years,Östgotaparken,15.734 Seats
846,IFK Göteborg,Sweden,20,"24,3",5,€10.65m,Poya Asbaghi,34 Years,Gamla Ullevi,18.800 Seats
847,BK Häcken,Sweden,27,"26,4",6,€10.44m,Andreas Alm,46 Years,Bravida Arena,8.000 Seats
848,Helsingborgs IF,Sweden,24,"26,0",9,€10.38m,Olof Mellberg,42 Years,Olympia,16.673 Seats
849,IF Elfsborg,Sweden,27,"23,6",6,€9.15m,Jimmy Thelin,42 Years,Borås Arena,16.894 Seats
850,Örebro SK,Sweden,27,"25,1",8,€7.73m,Axel Kjäll,38 Years,Behrn Arena,14.500 Seats
851,Östersunds FK,Sweden,29,"23,1",17,€7.65m,Ian Burchnall,37 Years,Jämtkraft Arena,8.466 Seats
852,Kalmar FF,Sweden,23,"24,9",5,€7.45m,Nanne Bergstrand,63 Years,Guldfågeln Arena,12.182 Seats
853,IK Sirius,Sweden,26,"26,1",6,€6.98m,Henrik Rydström,44 Years,Studenternas IP,6.500 Seats
854,Falkenbergs FF,Sweden,25,"25,4",6,€4.23m,Hans Eklund,50 Years,Falcon Alkoholfri Arena,5.500 Seats
855,Mjällby AIF,Sweden,25,"24,1",6,€3.53m,Marcus Lantz,44 Years,Strandvallen,7.500 Seats
