,FootballTeam,Country,City,Stadium,Capacity
206,Benevento Calcio,Italy,Benevento,Stadio Ciro Vigorito,"12,847"
207,Atalanta,Italy,Bergamo,Stadio Atleti Azzurri d'Italia,"26,562"
208,Bologna,Italy,Bologna,Stadio Renato Dall'Ara,"38,279"
209,Brescia,Italy,Brescia,Stadio Mario Rigamonti,"16,308"
210,--,Italy,Cagliari,Stadio Is Arenas,"16,500"
211,Cagliari,Italy,Cagliari,Stadio Sant'Elia,"23,486"
212,Catania,Italy,Catania,Stadio Angelo Massimio,"20,016"
213,Crotone,Italy,Crotone,Stadio Ezio Scida,"9,631"
214,Empoli,Italy,Empoli,Stadio Carlo Castellani,"20,000"
215,S.P.A.L.,Italy,Ferrara,Stadio Paolo Mazza,"16,134"
216,Fiorentina,Italy,Florence,Stadio Artemio Franchi,"43,147"
217,Genoa Sampdoria,Italy,Genova,Stadio Luigi Ferraris,"36,599"
218,Spezia Calcio,Italy,La Spezia,Stadio Alberto Picco,"10,336"
219,Lecce,Italy,Lecce,Stadio Via Del Mare,"31,533"
220,Livorno,Italy,Livorno,Stadio Armando Picchi,"19,234"
221,Inter Milan,Italy,Milan,San Siro,"80,018"
222,Modena,Italy,Modena,Stadio Alberto Braglia,"21,151"
223,Napoli,Italy,Naples,Stadio San Paolo,"60,240"
224,Novara,Italy,Novara,Stadio Silvio Piola,"17,875"
225,Padova,Italy,Padua,Stadio Euganeo,"18,060"
226,Palermo,Italy,Palermo,Stadio Renzo Barbera,"36,349"
227,Parma,Italy,Parma,Stadio Ennio Tardini,"27,906"
228,Pescara,Italy,Pescara,Stadio Adriatico,"20,476"
229,Piacenza,Italy,Piacenza,Stadio Leonardo Garilli,"17,821"
230,Reggiana Sassuolo,Italy,Reggio Emilia,MAPEI Stadium - Citta del Tricolore,"20,084"
231,Lazio Roma,Italy,Rome,Stadio Olimpico,"72,698"
232,Siena,Italy,Siena,Stadio Artemio Franchi,"15,373"
233,Juventus,Italy,Turin,Allianz Stadium,"41,000"
234,Torino,Italy,Turin,Stadio Olimpico di Torino,"25,300"
235,Udinese,Italy,Udine,Stadio Friuli,"25,000"
236,Varese,Italy,Varese,Stadio Franco Ossola,"9,926"
237,Venezia,Italy,Venice,Stadio Pierluigi Penzo,"7,450"
238,Chievo Verona Hellas Verona,Italy,Verona,Stadio Marcantonio Bentegodi,"39,221"
239,Hapoel Beer Sheva,Israel,Be'er Sheva,Toto Turner Stadium,"16,126"
240,Hapoel Haifa Maccabi Haifa,Israel,Haifa,Sammy Ofer Stadium,"30,701"
241,--,Israel,Tel Aviv,Ramat Gan Stadium,"41,583"
242,AZ Alkmaar,Netherlands,Alkmaar,AFAS stadion,"17,000"
243,Heracles Almelo,Netherlands,Almelo,Erve Asito,"12,080"
244,AFC Ajax,Netherlands,Amsterdam,Amsterdam ArenA,"53,748"
245,Vitesse Arnhem,Netherlands,Arnhem,GelreDome,"25,000"
246,NAC Breda,Netherlands,Breda,Rat Verlegh Stadion,"19,000"
247,De Graafschap,Netherlands,Doetinchem,Stadion De Vijverberg,"12,600"
248,PSV Eindhoven,Netherlands,Eindhoven,Philips Stadion,"35,000"
249,FC Twente,Netherlands,Enschede,Grolsch Veste,"30,000"
250,FC Groningen,Netherlands,Groningen,Stadion Euroborg,"22,500"
251,SC Heerenveen,Netherlands,Heerenveen,Abe Lenstra Stadion,"26,100"
252,Helmond Sport,Netherlands,Helmond,SolarUnie Stadion,"4,100"
253,Roda JC,Netherlands,Kerkrade,Parkstad Limburg Stadion,"18,936"
254,NEC Nijmegen,Netherlands,Nijmegen,Goffertstadion,"12,500"
255,Feyenoord Rotterdam,Netherlands,Rotterdam,De Kuip,"51,117"
256,Sparta Rotterdam,Netherlands,Rotterdam,Het Kasteel,"11,000"
257,SVB Excelsior,Netherlands,Rotterdam,Stadion Woudestein,"3,531"
